Model,Accuracy,Precision_macro,Recall_macro,F1_macro
LogisticRegression,0.3369047619047619,0.3370326689561363,0.3369047619047619,0.3365241509642384
LinearSVM,0.3113095238095238,0.3044829585854569,0.3113095238095238,0.3056717788009361
CNN,0.9508928571428572,0.9513500378436686,0.9508928571428572,0.950807053444805
