Model,Accuracy,Precision_macro,Recall_macro,F1_macro
LogisticRegression,0.33690476190476193,0.33703266895613637,0.33690476190476193,0.33652415096423843
LinearSVM,0.3113095238095238,0.30448295858545693,0.3113095238095238,0.3056717788009361
